0_mfcc,1_mfcc,2_mfcc,3_mfcc,4_mfcc,5_mfcc,6_mfcc,7_mfcc,8_mfcc,9_mfcc,10_mfcc,11_mfcc,12_mfcc,13_mfcc,14_mfcc,15_mfcc,16_mfcc,17_mfcc,18_mfcc,19_mfcc,zero_crossing_rate_mean,spectral_bandwidth_mean,spectral_rolloff_mean,chroma_stft_mean,chroma_cqt_mean,spectral_centroid_mean,root_mean_square_mean,spectral_contrast_mean,spectral_flatness_mean,genre
-239.18208,105.00263,-5.420368,8.195547,-13.585337,-11.952293,-34.566986,-22.826794,-34.07924,-23.052376,-30.035738,-23.356203,-27.595003,-15.1659,-19.297379,-11.347047,-16.52022,-10.766538,-15.682545,-9.339978,0.0923044603924418,1954.159233925307,3527.789675690407,0.41355756,0.54083884,1769.207500735375,0.071439,23.035113071591987,0.016398799,0.0
-61.60037,82.56675,-14.789812,-0.88540435,-21.1115,8.423066,-10.395347,1.2997459,-17.007654,0.48661625,-9.381545,7.331889,0.13228163,8.81974,-0.8645437,2.1764047,-4.9569516,-1.285539,-9.985386,-0.4611467,0.1067609920058139,2424.659290490258,5149.239871002907,0.29686695,0.43164253,2459.861177530088,0.24648249,23.297029956945867,0.016841004,1.0
-98.709305,33.272823,-56.833916,-10.869877,-13.525254,15.804026,-17.110487,2.1361692,-9.958399,12.86457,3.305082,12.267925,-8.007218,2.8296118,-9.103603,4.9271746,-5.6563845,-5.387321,-11.873382,6.575595,0.1874557140261628,2352.717159842406,5677.905046329942,0.22995721,0.5102575,2976.3477097963905,0.19654055,25.332131426238345,0.011237353,1.0
-430.47897,-76.468575,-89.44417,30.185099,39.092514,0.24533045,-44.325783,49.80634,5.8651013,-6.8054056,-17.53657,0.4738365,-6.3501167,-1.585858,1.0421247,6.8998446,-15.040117,3.7321434,4.016794,1.3058279,0.2424361827761628,2060.9963622702257,6118.684706577035,0.18015459,0.24149571,3632.127821209513,0.028400987,22.95928499554874,0.0035711583,0.0
-148.56056,42.65972,-23.117065,41.94357,-7.262955,20.05359,-16.17143,5.6104403,-23.44623,-1.0384239,-27.285833,9.854504,-5.3286304,13.933523,-4.6309924,-5.125245,-14.924369,16.38104,16.657768,20.801971,0.1382040334302325,2377.397427639441,5634.813601471657,0.21689965,0.39729652,2769.230822801505,0.11085478,29.14065391414585,0.004242079,0.0
-83.06401,47.49795,-26.420866,0.42065558,-23.498901,-4.258072,-16.138123,-8.481432,-18.503576,-0.15629865,-18.524351,-2.5367641,-16.974932,-4.1701584,-20.066511,-2.1259563,-20.185528,-5.554789,-18.6043,-4.338913,0.1908918513808139,2636.4119609347467,6341.202818404797,0.3080194,0.42951408,3147.596362810497,0.1483211,26.219336600912165,0.02326555,2.0
-85.81312,119.738815,4.6077023,29.667187,6.4694505,24.734507,-5.885748,13.242762,8.655466,15.115872,-2.522512,4.3200545,-3.8413353,1.7111266,-6.759996,5.8251233,-7.0750103,-0.92998403,-7.2370815,1.6846505,0.0551451217296511,2088.331008716821,3414.0392782521803,0.48793244,0.54437953,1570.488157800729,0.27372903,23.14821074028349,0.0046627433,3.0
-74.54557,41.124866,-49.610855,-15.283174,-26.23064,-6.920931,-31.584743,-16.250439,-23.676807,1.9283571,-7.7368555,-0.22938573,-14.805873,-11.075336,-26.96895,-4.9090466,-11.3070345,-1.0800899,-12.897352,21.357054,0.1758153161337209,2575.461112600934,6236.291049691134,0.2996087,0.46503547,3122.442326686379,0.14504306,24.38404701351386,0.030662168,4.0
-84.62249,18.8973,-24.557865,5.6718373,-2.917957,25.977917,-8.889941,5.0619016,-14.404067,6.6246343,-11.123313,-0.75138444,-8.710708,2.2403302,-10.123017,5.07125,-8.332526,5.239201,-10.510917,7.7453036,0.2666265443313954,2730.91404915482,7221.334938226744,0.28650072,0.593204,3897.023392297429,0.13907592,23.873504452660573,0.040119294,1.0
-44.961254,26.643753,-9.799512,15.850892,-7.7634435,15.643544,-12.1320095,5.647773,-6.179505,12.103152,-1.610781,5.165784,-8.762756,-1.2424933,-0.6555122,10.0751,1.3707635,6.9131513,-13.172881,6.928567,0.245289789244186,2774.5968856590225,7248.12624909157,0.36424237,0.49113244,3979.804097574354,0.17217234,23.656864868339685,0.049029216,1.0
-25.111212,59.131794,-22.852417,-0.85615516,-28.731604,0.4530214,-20.853003,7.376251,-13.74723,-5.9241586,-12.210346,7.22026,-4.8528047,2.993164,-22.511833,-2.42497,-17.60441,-1.8907017,-12.900146,9.896175,0.1671227743459302,2636.5576518841017,6226.951648800872,0.32074323,0.55917305,3040.8528322661828,0.22938897,24.77588768856224,0.027840251,4.0
-58.775383,56.62153,-31.917973,-5.9009185,-32.800385,10.122867,-15.197818,2.3538606,-17.098824,10.722973,-7.806823,7.176276,-10.622725,3.2700005,-8.411159,1.2721932,-9.732508,3.1831734,-3.3098953,10.250737,0.1760810319767441,2506.221257705853,6053.909826944041,0.30170804,0.4521859,3045.0870363805907,0.1675722,25.04151733511785,0.022418173,1.0
20.355312,46.770927,-18.171278,17.428558,-14.124439,5.8945255,-25.916943,-3.2669847,-25.817755,-2.164243,-20.818296,-6.8279743,-24.437153,-4.118727,-13.933684,-2.753805,-13.546741,3.3434699,-20.701147,-4.359355,0.2017328306686046,2621.602447965904,6367.41824127907,0.30078968,0.47211942,3335.532724735321,0.33392742,24.372903353816096,0.04059008,4.0
12.949183,35.760357,-2.806282,6.5983377,-36.11604,-1.9385955,-25.15828,-6.0127707,-30.950838,-5.0854797,-23.305244,2.9205358,-21.980883,-5.9781,-19.388851,-0.16930513,-15.143418,-7.130287,-15.050048,9.440976,0.231787109375,2907.6110907031352,7438.770212572675,0.33084974,0.50747,3881.1551817870686,0.25490636,23.86555393248727,0.057469767,4.0
-46.346268,103.59178,-12.22753,-4.184758,-15.214278,-7.1086287,-12.795313,-4.9072914,-16.075106,2.149512,-14.387964,5.1359434,-9.234195,5.140271,-13.831407,3.358409,-12.342296,0.32505968,-11.891187,1.6932977,0.0945426053779069,2444.4679140502917,4700.147392805233,0.28430983,0.42292273,2214.381974179783,0.23712942,23.34896224751392,0.009573087,2.0
-89.91655,92.23091,-21.528158,4.975435,-29.098509,-6.981628,-30.890219,-11.063236,-27.75357,-11.007844,-19.565712,-0.7970802,-10.110749,-1.4426923,-14.5131,-0.59044194,-12.441038,-1.841412,-15.265579,-1.4247259,0.0972281522529069,2164.8422623659767,4100.222338299419,0.2912689,0.38884118,1978.9115368231771,0.1804109,26.686986454456434,0.003666257,2.0
-117.01706,144.25151,-9.77423,25.986328,-10.802221,-1.7386832,-22.874783,-12.500347,-15.742039,-3.2216394,-9.137793,0.43381408,-10.435643,0.32666203,-9.486914,-0.20650265,-6.0284486,-4.0529995,-12.826617,-3.0131314,0.0970317042151162,1714.4291659571395,3075.492255632268,0.38505426,0.55366683,1522.491487285428,0.24339505,24.93439734107624,0.0038280105,3.0
27.805845,44.83581,-2.7132928,19.518166,-19.931046,15.207637,-16.581305,-6.9712925,-21.469513,8.566553,-18.613417,-5.150061,-19.664932,-0.9143715,-10.476809,-3.3338048,-20.076248,-4.3828254,-10.533401,1.05875,0.2194074763808139,2828.0634914901466,7024.531477107558,0.3643713,0.621652,3546.16104194494,0.28847829,23.95885622528726,0.051615525,4.0
-87.042114,84.0382,-16.134989,-7.9030952,-38.031425,-22.902143,-22.528763,-22.775925,-31.41577,-11.188505,-24.085232,-8.096708,-12.285459,-7.733694,-19.698065,-8.679711,-23.655336,-8.910008,-22.131767,-1.2735069,0.1086482558139534,2479.1585339981707,4874.366029251453,0.33569285,0.5236688,2290.701011725508,0.16610466,24.82453212531605,0.008865515,2.0
15.881616,42.47185,12.807325,21.39396,-15.626252,6.9173284,-13.669896,-7.5867777,-20.515652,-0.13485846,-16.681276,-0.58207345,-23.543156,1.3334208,-19.341833,-2.7849224,-21.110683,-5.554277,-11.467286,-5.169255,0.201220703125,3067.947693201695,7726.213435683139,0.3673672,0.539681,3742.068953127908,0.2798142,23.651159937582666,0.05776335,4.0
-93.39957,91.17448,-35.99743,-4.6606827,-24.345871,-8.623181,-15.818668,-1.0740174,-13.126054,10.152469,-3.818564,8.368192,-18.065565,-5.161275,-15.335528,-3.5002348,-12.156575,0.21431686,-7.2275996,13.387434,0.1006756449854651,2169.009761889706,4219.906885901163,0.2237914,0.3683034,2134.600206331565,0.19129936,26.54055017476152,0.0056804447,4.0
-112.30162,48.5664,-8.165998,4.8151317,-17.613153,5.9207325,-19.611635,-9.813135,-30.530058,-11.708629,-14.886619,8.642473,-12.930759,1.299641,-14.540377,-2.4478865,-15.704061,-2.4088814,-10.637962,-1.9517939,0.1562556776889535,2817.73376226365,6776.123444313227,0.25837052,0.44045213,3193.4069654238606,0.1468535,26.030626856578472,0.019749243,4.0
-120.65403,89.545494,-59.559017,-14.018689,-39.19329,-11.117049,-10.242648,2.3356743,-4.733252,5.4474463,-9.425507,-3.2806125,-13.964697,-4.932975,-11.925322,-2.4582996,-16.753593,-2.8992226,4.8654165,4.3553767,0.114723382994186,1919.632044757917,4009.081804142442,0.25889948,0.4661367,2155.5605568535784,0.18013923,24.76107399527016,0.010082902,4.0
-109.17773,129.56891,16.35011,7.969689,12.345019,11.383385,-8.005456,0.41695,-13.520426,2.7857091,-6.7794185,0.6546343,-12.577083,2.9217541,-5.0543265,2.3552692,-9.9442425,1.2013272,-4.570016,2.8255944,0.0579374091569767,2194.080304063444,3490.507187954215,0.31603247,0.4489977,1631.931336080483,0.25233737,24.06219214750446,0.0044409833,3.0
-292.0202,127.05016,-50.509613,2.4152844,-11.247159,1.4850558,-11.252974,-0.2792511,-17.608736,-22.340271,-36.250313,-11.24778,-14.803445,-27.406487,-24.632812,6.3385744,-7.4046392,-9.992008,-2.8441167,-17.074835,0.0572651707848837,1490.692753655362,2840.3546852289246,0.23765652,0.30489567,1426.496818334353,0.060204297,28.258522128087307,0.0011496844,0.0
-152.45905,3.2746348,-12.008071,12.557546,-16.844263,9.506823,-1.038742,-0.4586313,-14.831388,9.722596,1.3387122,18.087036,4.0121303,5.5548205,-11.231961,0.9434458,-5.544261,1.8214151,-10.363085,1.8503106,0.3190895257994186,2734.0854486398134,7517.992369186047,0.316009,0.6155108,4188.079383336822,0.08415192,23.87477317768483,0.034437217,1.0
-77.22094,79.79657,0.97674024,-20.936563,-35.90796,-4.582538,-23.654442,-1.8560174,-15.365784,17.58136,7.870992,8.04933,-2.029042,11.132391,-7.406259,4.595984,-1.757226,3.6954038,-9.527961,-2.024238,0.1113792242005814,2614.8791070106768,5621.392907430959,0.24941264,0.42710596,2498.0039467344486,0.26106033,25.07667833390789,0.010751292,1.0
-40.283997,79.1466,-6.5365276,5.8714657,-9.003604,5.357553,-22.120304,-10.661966,-25.023651,-6.2965364,-20.670507,-1.3603857,-23.711502,-8.721369,-19.62351,-5.048543,-16.21353,-6.799229,-13.560433,-2.37938,0.0924747910610465,2679.5438778185166,5772.776333121366,0.3876147,0.5305084,2523.98884334204,0.24843365,22.466461086534053,0.022296904,5.0
-133.1031,138.78926,-47.785164,-33.223484,-42.243706,-22.691048,-45.0733,-18.933254,-38.262394,-10.576719,-25.835188,-8.98375,-21.109922,-5.341269,-11.078625,-3.8780577,-12.137007,-4.750758,-10.981284,-4.268116,0.0730207576308139,1601.1704587875422,2232.116812772529,0.31758398,0.4737619,1395.737927719469,0.13892944,23.515924401615557,0.0018737175,6.0
-193.0483,93.961754,-28.971508,-9.755522,-47.221542,-38.88781,-40.933075,-24.92435,-35.93885,-1.8522054,-22.411823,-22.717915,-30.984043,0.36246452,-3.281099,4.7655487,-13.888754,6.5634766,-6.652839,-5.4725256,0.090981558866279,2002.0071846700064,3390.40283203125,0.24257709,0.40275908,1754.015057183107,0.09615541,27.05775735405795,0.0013847934,6.0
12.583063,51.748928,-5.1519575,6.910343,8.330942,18.83504,4.323826,25.262197,1.4689947,10.269794,-4.6903944,19.414808,-4.249957,14.924727,-4.0243673,13.938073,-7.0273585,11.702649,-5.751545,5.844577,0.203872183866279,3074.3412757748188,7613.139080668605,0.3784892,0.36569345,3429.8322084127726,0.30784762,21.189117679227923,0.04834927,0.0
-223.46362,137.39713,-64.08094,-17.857525,-49.785656,-13.881108,-42.96852,-21.832771,-23.801067,-19.749893,-14.53363,5.03242,-11.1828985,-10.233121,-11.285744,-13.301372,-7.675185,-14.748673,-9.0731535,2.048504,0.1015522801598837,1325.6838655742465,2470.93505859375,0.24048921,0.3275309,1440.9893955381262,0.13667515,29.097013128117688,0.00013044641,3.0
-62.09108,80.683815,-5.5017414,10.623707,-19.367601,2.1481428,-16.536657,3.3238764,-11.630917,5.771699,-6.5099425,5.2773976,-8.580157,4.5814486,-10.806087,0.7509447,-10.652909,5.571694,-8.814051,-2.169487,0.1181686046511627,2436.23713328645,5108.101437590843,0.28168482,0.48627862,2340.413852645271,0.18042566,25.185735123708056,0.0073030116,3.0
-173.51173,74.81168,-25.74513,34.77112,-9.796548,18.114561,-16.584553,3.8797398,-15.057306,-26.43263,-17.48955,-18.786512,-20.94003,-9.525222,-22.35885,-5.805408,-17.240738,-1.4164027,-14.173344,-6.8273144,0.125258902616279,2257.146318712566,4910.196277707122,0.2980891,0.3545475,2365.807091215535,0.10332519,25.14763827493036,0.009674447,6.0
-150.51067,125.24285,-41.29931,9.81239,-15.109381,-2.7972903,-16.788063,-4.411057,-7.354377,9.67805,-2.5463362,10.493421,-2.3718534,8.487208,-0.91994816,2.5355496,-5.9245877,7.54075,-11.7747345,-4.354887,0.1252225654069767,1733.06103107197,3107.1911337209303,0.27391306,0.5262936,1757.5320441616764,0.12171388,24.96631199065268,0.0025369583,2.0
-325.4188,151.89786,-33.69807,-0.5722162,-11.822429,1.1205469,-18.14376,-18.65189,-17.163483,0.94996256,-2.6791823,3.2591846,8.147761,7.3457966,-9.48601,3.0522695,-5.759319,-8.062812,-6.1192503,-1.052074,0.0889273710029069,1331.871184560422,2145.1827648074127,0.20323706,0.39879093,1399.2697192777127,0.0379786,24.349027324060003,0.0010990336,6.0
-175.9081,170.47787,32.060074,34.522015,6.842392,1.7647812,-14.097246,-6.056842,-7.5177474,-6.801174,-10.85138,-0.5146904,-11.8712225,-5.467089,-2.6454017,1.6344066,-4.8915176,-1.7248129,-3.5084734,1.8120346,0.0174418604651162,1216.6223608208584,700.3298737281976,0.32495126,0.30787963,613.8117752930469,0.40145534,25.065248379195907,7.923687e-05,6.0
-184.66646,159.14499,-7.01642,-18.652157,30.214045,-3.3772295,5.7558584,-22.0531,5.4476595,-6.1518173,-23.922117,8.622555,-28.204044,-2.8693717,-20.406158,0.6570073,-16.523771,-4.536853,-10.309179,-6.223241,0.0479253724563953,2011.2871598116096,1971.6652093931689,0.29847872,0.36572033,1363.464974665108,0.14829938,24.69339048276668,0.0011459991,5.0
-127.90784,30.4663,-58.134987,-16.491999,-31.16887,-12.507127,-26.742067,-11.269443,-31.469877,-6.8712196,-25.513412,-1.0597614,-21.873337,-5.0437346,-11.927,7.287079,-7.5044084,5.2402263,-10.36905,-7.1900935,0.1896064226017441,2418.7932677228678,5820.224495821221,0.29094583,0.35451108,3072.380439417777,0.1171239,24.54630842483792,0.019038849,1.0
2.0577989,84.482155,19.394302,16.006943,-11.197502,19.485302,-2.822456,6.182844,-12.71389,10.279609,-5.5434,1.1678661,4.3703394,13.294124,-9.862554,3.0049984,-12.426945,1.0645654,-6.126216,0.12832485,0.108180414244186,2842.551168778793,6257.548828125,0.37535328,0.529029,2580.1846938167487,0.31429482,24.23161057565628,0.01695727,4.0
-189.43835,68.294106,-15.727376,-5.91343,-11.704621,3.736662,-13.067823,4.7659197,-3.2034886,11.620776,-3.517522,-1.0193048,-15.692056,0.35456628,-12.480732,1.4417182,-15.20566,6.707593,-6.715361,0.3277196,0.1562886082848837,2567.885268050991,5804.925906159157,0.22308236,0.37153256,2944.465099374977,0.08244231,25.65816436484733,0.011124185,6.0
-15.147715,62.587025,-16.727352,17.040293,-14.215952,7.4576683,-22.80574,-5.1011343,-18.040625,2.7160125,-18.476156,-3.5005074,-19.545757,-5.2945576,-24.516342,-7.6051526,-14.120248,-9.443457,-24.564617,-7.384981,0.1537631722383721,2610.722576205436,5901.950513263081,0.36408517,0.46823022,2834.239626559474,0.26729718,24.97115301601291,0.019106705,1.0
-161.98622,93.17582,-35.088886,-0.9062579,-19.576122,1.0232751,-11.977939,7.1726336,-8.1245575,-1.9132801,-16.52874,1.3696094,-0.8822532,10.723996,-5.0084276,-0.9684128,-12.23257,1.5518506,-9.398711,-11.398544,0.1323480650436046,1999.154886044112,4518.367096656977,0.25720966,0.3853879,2312.49684107345,0.1126195,27.960956188259782,0.007977304,3.0
-292.26373,68.55905,-66.1499,-22.08263,-21.43346,0.47637933,-18.6008,4.5658536,-7.6480427,3.1139843,-24.372656,-3.024289,-22.486494,0.069085695,-8.602537,5.5187173,-2.6268787,5.8589573,-21.65904,9.264432,0.1497422329215116,2313.983116783357,5218.52170012718,0.4446865,0.64796853,2722.568863925173,0.011986022,19.87634073233956,0.03707692,0.0
-508.42136,172.67719,22.119453,-29.072851,-13.660609,-0.48978925,4.1351676,5.559208,6.378763,5.3023663,-1.2034055,-5.6552973,-2.5981088,-1.2462411,-8.065452,-13.865711,-10.401681,-3.0094495,0.75544375,-2.1649384,0.0760424236918604,503.7767346944372,1229.5458984375,0.20305923,0.30533978,774.7547980643753,0.03144643,28.575232663889448,1.0381606e-06,3.0
-37.647907,62.97115,-16.508526,10.596911,-7.0632544,5.027084,-21.020975,-1.9299865,-14.444721,3.417951,-14.846545,10.833703,-9.580016,-1.8173665,-17.594069,-4.897539,-15.804666,-2.3003588,-11.735954,-3.4702623,0.1681856377180232,2646.155279175246,6194.6017668968025,0.29593188,0.4437556,2910.433452448531,0.19266158,25.204318170966594,0.020530595,1.0
-87.372604,23.149029,-41.432144,8.727552,-14.465227,-1.8806077,-19.176857,-6.1179347,-22.68889,-0.5900484,-13.394556,9.28264,-21.550676,-1.9980873,-14.7944765,-0.9547738,-17.5873,1.3590986,-15.037449,3.0277128,0.2204351380813953,2511.8133515673417,6316.439634811047,0.25789568,0.3483773,3295.4258640208272,0.16245614,27.36637068880377,0.010314993,1.0
-56.2857,52.835773,-10.965606,11.860953,-14.123009,-0.032717966,-10.940646,10.450177,-9.219141,7.247503,-12.450646,0.66837966,-15.496228,-2.468871,-16.448095,-5.515008,-15.021659,-2.1329892,-14.825965,-7.3818445,0.2213742278343023,2603.1463074901703,6117.858432503634,0.31060228,0.4349937,3186.073048535045,0.23918837,26.035301746583396,0.014501297,1.0
-161.28308,116.68475,0.75674474,-13.73111,-2.8037977,8.250129,-12.643157,-20.380228,-16.064651,-16.554539,-24.296474,22.047861,-11.412334,1.0109035,-19.844818,-9.71813,-20.991299,0.5563711,-5.4219055,-10.786711,0.0688465207122093,2385.079074472493,3838.518804505814,0.30244103,0.4323215,1873.3257179079585,0.10732649,24.84548173294217,0.0038361545,5.0
